resource_id,title,resource_type,sel_core_competency,education_stage,curriculum_108_competency,curriculum_108_area,curriculum_108_issue,curriculum_108_performance,curriculum_108_content,mapping_status,source,source_url,verification_status,license_or_access,notes
SEL-088,國教院 人權教育議題,學術文獻與實證,社會覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,人權教育,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,國家教育研究院,https://www.naer.edu.tw/,待國內頁面查核,公開閱讀,權利與責任
SEL-074,教育部 正向管教,教學活動與教案,人際關係,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,品德教育,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,教育部,https://www.edu.tw/,待國內頁面查核,公開閱讀,教師班級經營
SEL-076,教育部 品德教育,教學活動與教案,社會覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,品德教育,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,教育部,https://www.edu.tw/,待國內頁面查核,公開閱讀,品德與關係
SEL-085,國教院 品德教育議題,教學活動與教案,社會覺察,國小;國中,A2;B1;C2,跨領域,品德教育,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,國家教育研究院,https://www.naer.edu.tw/,待國內頁面查核,公開閱讀,品德與行動
SEL-094,班級經營與正向管教研習,研習模組與講師素材,人際關係,幼兒園;國小;國中;高中職;大專,A2;B1;C2,綜合活動領域,品德教育,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,教師在職進修網,https://www1.inservice.edu.tw/,待課程查核,依課程授權,需確認內容與時數
SEL-008,CASEL Family Partnership,研習模組與講師素材,社會覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,綜合活動領域,家庭教育,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,CASEL,https://casel.org/systemic-implementation/,待直接頁面查核,公開閱讀,親師合作
SEL-038,RULER Family Engagement,研習模組與講師素材,社會覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,綜合活動領域,家庭教育,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,Yale RULER,https://rulerapproach.org/,待直接頁面查核,部分公開／可能需註冊,家庭參與
SEL-047,EEF Family Engagement,研習模組與講師素材,社會覺察,國小,A2;B1;C2,綜合活動領域,家庭教育,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,EEF,https://educationendowmentfoundation.org.uk/education-evidence/guidance-reports/improving-social-and-emotional-learning-in-primary-schools,待直接頁面查核,公開閱讀,家庭連結
SEL-057,UNESCO Family and Community,研習模組與講師素材,社會覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,綜合活動領域,家庭教育,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,UNESCO,https://www.unesco.org/en/education,待直接頁面查核,公開閱讀,家庭社區
SEL-065,US ED Family Engagement,研習模組與講師素材,社會覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,綜合活動領域,家庭教育,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,U.S. Department of Education,https://www.ed.gov/teaching-and-administration/educator-support/mental-health/social-emotional-learning,待直接頁面查核,公開閱讀,親師合作
SEL-079,教育部 家庭教育,研習模組與講師素材,社會覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,綜合活動領域,家庭教育,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,教育部,https://www.edu.tw/,待國內頁面查核,公開閱讀,親職與親師合作
SEL-086,國教院 家庭教育議題,研習模組與講師素材,人際關係,幼兒園;國小;國中;高中職;大專,A2;B1;C2,綜合活動領域,家庭教育,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,國家教育研究院,https://www.naer.edu.tw/,待國內頁面查核,公開閱讀,家庭互動
SEL-087,國教院 性別平等議題,學術文獻與實證,社會覺察,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,性別平等教育,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,國家教育研究院,https://www.naer.edu.tw/,待國內頁面查核,公開閱讀,尊重差異
SEL-075,教育部 生命教育,教學活動與教案,負責任的決定,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,生命教育,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,教育部,https://www.edu.tw/,待國內頁面查核,公開閱讀,議題融入
SEL-084,國教院 生命教育議題,教學活動與教案,負責任的決定,國中;高中職,A2;B1;C2,跨領域,生命教育,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,國家教育研究院,https://www.naer.edu.tw/,待國內頁面查核,公開閱讀,價值思辨與選擇
SEL-001,CASEL SEL Framework,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,CASEL,https://casel.org/fundamentals-of-sel/what-is-the-casel-framework/,已核對入口,公開閱讀,核心分類架構
SEL-002,CASEL Systemic Implementation,學術文獻與實證,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小;國中;高中職;大專,A1;B1;C1,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,CASEL,https://casel.org/systemic-implementation/,已核對入口,公開閱讀,學校整體推動
SEL-003,CASEL Program Guide,教學活動與教案,自我覺察;自我管理;社會覺察;人際關係;負責任的決定,幼兒園;國小;國中;高中職;大專,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,CASEL,https://pg.casel.org/,已核對入口,公開閱讀,方案證據與比較入口
SEL-004,CASEL Explicit SEL Instruction,教學活動與教案,自我管理,國小;國中,A2;B1;C2,跨領域,跨領域議題融入,待依教育階段與領域補填,依教育階段與學習領域進行課程融入；正式對應待審查。,建議對應／待審查,CASEL,https://casel.org/fundamentals-of-sel/what-is-the-casel-framework/,待直接頁面查核,公開閱讀,由框架延伸建卡
