id,title,category,education_stage,sel_domain,source,url,license_or_access,verification_status,notes
SEL-001,CASEL SEL Framework,框架,跨階段,五大能力,CASEL,https://casel.org/fundamentals-of-sel/what-is-the-casel-framework/,公開閱讀,已核對入口,核心分類架構
SEL-002,CASEL Systemic Implementation,政策與系統,跨階段,全校性實施,CASEL,https://casel.org/systemic-implementation/,公開閱讀,已核對入口,學校整體推動
SEL-003,CASEL Program Guide,方案與課程,跨階段,五大能力,CASEL,https://pg.casel.org/,公開閱讀,已核對入口,方案證據與比較入口
SEL-004,CASEL Explicit SEL Instruction,教學策略,國小／國中,自我管理,CASEL,https://casel.org/fundamentals-of-sel/what-is-the-casel-framework/,公開閱讀,待直接頁面查核,由框架延伸建卡
SEL-005,CASEL Cooperative Learning,教學策略,國小／國中,人際關係,CASEL,https://casel.org/fundamentals-of-sel/what-is-the-casel-framework/,公開閱讀,待直接頁面查核,合作學習情境
SEL-006,CASEL Project-based Learning,教學策略,國中／高中,負責任決定,CASEL,https://casel.org/fundamentals-of-sel/what-is-the-casel-framework/,公開閱讀,待直接頁面查核,課程融入情境
SEL-007,CASEL Adult SEL,教師專業,跨階段,教師自我覺察,CASEL,https://casel.org/systemic-implementation/,公開閱讀,待直接頁面查核,教師與成人學習
SEL-008,CASEL Family Partnership,家庭合作,跨階段,社會覺察,CASEL,https://casel.org/systemic-implementation/,公開閱讀,待直接頁面查核,親師合作
SEL-009,CASEL Community Partnership,社區合作,跨階段,社會覺察,CASEL,https://casel.org/systemic-implementation/,公開閱讀,待直接頁面查核,社區資源連結
SEL-010,CASEL Equity and SEL,文化與公平,跨階段,社會覺察,CASEL,https://casel.org/fundamentals-of-sel/what-is-the-casel-framework/,公開閱讀,待直接頁面查核,文化回應與公平
SEL-011,OECD SSES Overview,研究與證據,國中／高中,跨領域,OECD,https://www.oecd.org/en/about/programmes/social-and-emotional-skills-study.html,公開閱讀,已核對入口,國際研究入口
SEL-012,OECD SSES Framework,框架,國中／高中,跨領域,OECD,https://www.oecd.org/en/about/programmes/social-and-emotional-skills-study.html,公開閱讀,待直接頁面查核,技能分類
SEL-013,OECD SSES Measurement,評量,國中／高中,跨領域,OECD,https://www.oecd.org/en/about/programmes/social-and-emotional-skills-study.html,公開閱讀,待直接頁面查核,測量設計參考
SEL-014,OECD SSES Student Context,研究與證據,國中／高中,社會覺察,OECD,https://www.oecd.org/en/about/programmes/social-and-emotional-skills-study.html,公開閱讀,待直接頁面查核,學生背景變項
SEL-015,OECD SSES Teacher Context,教師專業,國中／高中,教師自我覺察,OECD,https://www.oecd.org/en/about/programmes/social-and-emotional-skills-study.html,公開閱讀,待直接頁面查核,教師相關變項
SEL-016,OECD SSES School Context,政策與系統,國中／高中,全校性實施,OECD,https://www.oecd.org/en/about/programmes/social-and-emotional-skills-study.html,公開閱讀,待直接頁面查核,學校脈絡
SEL-017,OECD Skills and Well-being,研究與證據,跨階段,自我管理,OECD,https://www.oecd.org/en/about/programmes/social-and-emotional-skills-study.html,公開閱讀,待直接頁面查核,福祉與學習
SEL-018,OECD Skills and Academic Outcomes,研究與證據,國中／高中,負責任決定,OECD,https://www.oecd.org/en/about/programmes/social-and-emotional-skills-study.html,公開閱讀,待直接頁面查核,結果變項
SEL-019,OECD Skills and Equity,研究與證據,跨階段,社會覺察,OECD,https://www.oecd.org/en/about/programmes/social-and-emotional-skills-study.html,公開閱讀,待直接頁面查核,公平議題
SEL-020,OECD Country Data,研究與證據,國中／高中,跨領域,OECD,https://www.oecd.org/en/about/programmes/social-and-emotional-skills-study.html,公開閱讀,待直接頁面查核,不可直接作個人排名
